Step No,Gas Flow (L/hr)
1,151.435
2,148.205
3,144.047
4,139.888
5,135.73
6,131.571
7,130.435
8,130.435
9,130.435
10,130.435
11,130.435
12,130.435
13,129.846
14,128.546
15,127.247
16,125.947
17,124.648
18,123.348
19,122.049
20,120.749
21,119.565
22,119.565
23,119.565
24,119.565
25,119.565
26,119.565
27,119.565
28,119.565
29,119.565
30,119.565
31,119.565
32,119.565
33,119.565
34,119.565
35,119.565
36,120.043
37,122.564
38,125.084
39,127.604
40,130.124
41,132.644
42,135.165
43,137.685
44,140.205
45,143.436
46,147.216
47,150.997
48,154.777
49,158.557
50,162.338
51,166.667
52,171.122
53,175.578
54,180.033
55,184.489
56,188.944
57,193.4
58,197.175
59,200.255
60,203.336
61,206.416
62,209.496
63,212.576
64,215.657
65,219.208
66,223.366
67,227.525
68,231.683
69,235.842
70,240
71,244.158
72,248.317
73,255.625
74,265.076
75,274.527
76,283.978
77,293.429
78,302.88
79,309.616
80,315.854
81,322.092
82,328.329
83,334.567
84,338.072
85,339.88
86,341.688
87,343.496
88,345.304
89,347.112
90,352.857
91,361.174
92,369.491
93,377.807
94,386.124
95,395.785
96,407.666
97,419.547
98,431.429
99,443.31
100,455.191
101,463.038
102,470.376
103,477.715
104,485.053
105,494.674
106,507.149
107,519.624
108,532.099
109,544.575
110,556.016
111,563.716
112,571.417
113,579.118
114,586.818
115,594.519
116,602.22
117,610.548
118,622.191
119,633.835
120,645.478
121,657.122
122,668.765
123,680.409
124,695.909
125,713.731
126,731.553
127,749.374
128,767.196
129,784.415
130,797.782
131,811.148
132,824.514
133,837.88
134,851.247
135,864.613
136,877.979
137,894.578
138,911.905
139,929.231
140,946.558
141,963.885
142,981.211
143,1001.172
144,1023.35
145,1045.528
146,1067.706
147,1089.884
148,1112.062
149,1134.24
150,1156.418
151,1177.624
152,1198.416
153,1219.208
154,1240
155,1260.792
156,1281.584
157,1301.434
158,1321.236
159,1341.038
160,1360.84
161,1380.642
162,1403.068
163,1428.554
164,1454.041
165,1479.528
166,1505.015
167,1530.502
168,1555.989
169,1581.476
170,1605.776
171,1627.954
172,1650.133
173,1672.311
174,1694.489
175,1716.667
176,1738.845
177,1761.023
178,1786.066
179,1813.789
180,1841.511
181,1869.234
182,1896.957
183,1924.679
184,1952.402
185,1980.124
186,2005.432
187,2029.577
188,2053.723
189,2077.868
190,2102.014
191,2126.159
192,2150.305
193,2174.45
194,2198.376
195,2222.138
196,2245.901
197,2269.663
198,2293.425
199,2317.187
200,2340.949
201,2364.21
202,2385.992
203,2407.774
204,2429.556
205,2451.338
206,2473.12
207,2494.982
208,2516.868
209,2538.754
210,2560.641
211,2582.527
212,2607.686
213,2633.676
214,2659.666
215,2685.656
216,2711.646
217,2737.636
218,2763.626
219,2789.616
220,2814.286
221,2837.229
222,2860.171
223,2883.114
224,2906.057
225,2929
226,2951.943
227,2974.885
228,2998.681
229,3022.623
230,3046.565
231,3070.507
232,3094.449
233,3118.392
234,3142.334
235,3166.276
236,3190.825
237,3217.439
238,3244.052
239,3270.666
240,3297.28
241,3323.893
242,3350.507
243,3377.016
244,3403.478
245,3429.941
246,3456.403
247,3482.866
248,3509.328
249,3535.791
250,3562.253
251,3588.501
252,3611.739
253,3634.977
254,3658.215
255,3681.453
256,3704.691
257,3727.929
258,3751.167
259,3774.405
260,3797.863
261,3822.324
262,3846.785
263,3871.246
264,3895.707
265,3920.168
266,3944.629
267,3969.09
268,3993.551
269,4018.459
270,4044.449
271,4070.439
272,4096.429
273,4122.418
274,4148.408
275,4174.352
276,4197.856
277,4221.36
278,4244.864
279,4268.368
280,4291.871
281,4315.373
282,4338.475
283,4361.577
284,4384.679
285,4407.781
286,4430.814
287,4453.685
288,4476.556
289,4499.427
290,4522.298
291,4545.42
292,4571.684
293,4597.947
294,4624.211
295,4650.474
296,4676.737
297,4703.001
298,4729.264
299,4755.528
300,4781.791
301,4808.065
302,4834.402
303,4860.738
304,4887.075
305,4913.411
306,4939.747
307,4966.084
308,4992.42
309,5017.875
310,5041.266
311,5064.656
312,5088.047
313,5111.438
314,5134.829
315,5158.22
316,5181.611
317,5205.002
318,5228.393
319,5251.784
320,5275.175
321,5298.566
322,5322.471
323,5346.546
324,5370.621
325,5394.696
326,5418.771
